FeatureIndex	FileName	MonoisotopicMass	AverageMass	MassCount	StartRetentionTime	EndRetentionTime	RetentionTimeDuration	ApexRetentionTime	SumIntensity	MaxIntensity	MinCharge	MaxCharge	ChargeCount	IsotopeCosineScore	ChargeIntensityCosineScore
1624	191018_Mmazei_BR4-1_3_HCD_5sec.mzML	56140.732359	56175.847261	2	5220.95	5279.11	58.1601	5279.11	1.36209e+07	7.09817e+06	42	100	34	0.873977	0.659379
1625	191018_Mmazei_BR4-1_3_HCD_5sec.mzML	60514.875999	60552.746411	2	4989.15	5051.39	62.2404	4989.15	1.06203e+07	7.07009e+06	50	100	27	0.806106	0.685692
1626	191018_Mmazei_BR4-1_3_HCD_5sec.mzML	57339.176958	57375.069669	2	5094.39	5135.78	41.3864	5094.39	1.11364e+07	7.06921e+06	47	99	31	0.901233	0.640971
1627	191018_Mmazei_BR4-1_3_HCD_5sec.mzML	34314.773366	34336.230159	2	5581.07	5624.13	43.0587	5581.07	9.36103e+06	7.00256e+06	36	63	19	0.880702	0.629419
1628	191018_Mmazei_BR4-1_3_HCD_5sec.mzML	53769.475191	53803.088629	2	4984.76	5045.26	60.5019	4984.76	1.34678e+07	7.00067e+06	51	99	22	0.939589	0.647372
1629	191018_Mmazei_BR4-1_3_HCD_5sec.mzML	23967.556186	23982.539975	7	5205.91	5355.39	149.477	5230.68	2.82719e+07	6.99561e+06	19	45	24	0.976658	0.897157
1630	191018_Mmazei_BR4-1_3_HCD_5sec.mzML	57359.742899	57395.649604	2	5194.51	5233.32	38.8063	5233.32	1.34125e+07	6.97801e+06	52	100	32	0.855183	0.619945
1631	191018_Mmazei_BR4-1_3_HCD_5sec.mzML	7632.149374	7636.921899	2	4254.19	4308.19	54.0026	4254.19	1.10992e+07	6.97693e+06	6	11	6	0.89724	0.991322
1632	191018_Mmazei_BR4-1_3_HCD_5sec.mzML	44039.518874	44067.085808	2	5057.51	5088.25	30.7409	5088.25	1.16781e+07	6.95751e+06	39	77	22	0.908163	0.680513
1633	191018_Mmazei_BR4-1_3_HCD_5sec.mzML	32245.065144	32265.225535	2	4811.12	4847.17	36.0566	4811.12	1.13152e+07	6.94685e+06	26	60	23	0.864051	0.775704
1634	191018_Mmazei_BR4-1_3_HCD_5sec.mzML	55306.474427	55341.073263	2	5162.08	5220.95	58.8715	5220.95	1.18672e+07	6.91746e+06	50	99	29	0.834422	0.661637
1635	191018_Mmazei_BR4-1_3_HCD_5sec.mzML	48926.299084	48956.871506	2	4893.21	4939	45.7936	4893.21	1.241e+07	6.8932e+06	45	84	27	0.891781	0.645319
1636	191018_Mmazei_BR4-1_3_HCD_5sec.mzML	58128.086665	58164.455373	3	4858.56	4894.18	35.6224	4864.98	9.57775e+06	6.89022e+06	54	100	33	0.903127	0.70817
1637	191018_Mmazei_BR4-1_3_HCD_5sec.mzML	54372.039910	54406.001569	2	5338.71	5364.54	25.8268	5338.71	1.11673e+07	6.88692e+06	50	95	32	0.886312	0.67316
1638	191018_Mmazei_BR4-1_3_HCD_5sec.mzML	48303.433579	48333.616287	2	5588.12	5617.05	28.9318	5617.05	1.26771e+07	6.87952e+06	39	85	23	0.889728	0.748553
1639	191018_Mmazei_BR4-1_3_HCD_5sec.mzML	57737.224831	57773.362068	2	4796.93	4817.23	20.3052	4817.23	1.34841e+07	6.84719e+06	41	100	27	0.863314	0.616176
1640	191018_Mmazei_BR4-1_3_HCD_5sec.mzML	7606.002963	7610.761709	12	4955	5230.68	275.684	4955	4.99152e+07	6.81872e+06	6	13	8	0.968681	0.934556
1641	191018_Mmazei_BR4-1_3_HCD_5sec.mzML	4909.678109	4912.751973	8	592.193	717.403	125.211	611.049	4.23959e+07	6.81637e+06	5	9	5	0.975714	0.995692
1642	191018_Mmazei_BR4-1_3_HCD_5sec.mzML	67026.571958	67068.471525	3	5610.93	5640.06	29.1274	5640.06	1.51185e+07	6.77972e+06	59	99	29	0.891898	0.751116
1643	191018_Mmazei_BR4-1_3_HCD_5sec.mzML	40118.851130	40143.930877	2	4885.09	4913.63	28.5477	4913.63	1.23099e+07	6.77112e+06	32	72	27	0.887893	0.748669
1644	191018_Mmazei_BR4-1_3_HCD_5sec.mzML	53151.081333	53184.310777	3	5198.89	5252.74	53.844	5220.95	1.72382e+07	6.76916e+06	47	100	33	0.866915	0.71599
1645	191018_Mmazei_BR4-1_3_HCD_5sec.mzML	55020.970920	55055.412765	2	4989.15	5039.14	49.994	4989.15	1.15225e+07	6.75587e+06	55	100	23	0.905877	0.638243
1646	191018_Mmazei_BR4-1_3_HCD_5sec.mzML	38920.404138	38944.785878	3	5159.45	5211.23	51.7819	5187.5	1.48457e+07	6.74931e+06	34	70	26	0.907254	0.771842
1647	191018_Mmazei_BR4-1_3_HCD_5sec.mzML	37123.519323	37146.748093	2	5478.08	5521.38	43.2986	5478.08	1.31931e+07	6.74645e+06	35	66	20	0.884905	0.755319
1648	191018_Mmazei_BR4-1_3_HCD_5sec.mzML	32295.527878	32315.703737	2	4982.13	4997.09	14.9592	4982.13	1.24092e+07	6.72529e+06	25	53	20	0.949336	0.611507
1649	191018_Mmazei_BR4-1_3_HCD_5sec.mzML	32486.674261	32506.965915	2	5458.43	5489.41	30.977	5458.43	1.08586e+07	6.71888e+06	25	59	19	0.87193	0.75072
1650	191018_Mmazei_BR4-1_3_HCD_5sec.mzML	42188.009757	42214.412873	2	5020.73	5077.74	57.0057	5020.73	1.08834e+07	6.70155e+06	33	83	24	0.890225	0.694372
1651	191018_Mmazei_BR4-1_3_HCD_5sec.mzML	62146.812265	62185.643174	2	5319.41	5332.57	13.163	5332.57	1.04703e+07	6.69254e+06	46	99	28	0.870389	0.618918
1652	191018_Mmazei_BR4-1_3_HCD_5sec.mzML	23995.530483	24010.525669	2	5563.44	5594.24	30.7977	5594.24	9.91856e+06	6.67402e+06	23	41	12	0.881598	0.801678
1653	191018_Mmazei_BR4-1_3_HCD_5sec.mzML	37739.658694	37763.239469	2	4864.98	4894.18	29.205	4864.98	7.7177e+06	6.66956e+06	34	65	24	0.923787	0.559279
1654	191018_Mmazei_BR4-1_3_HCD_5sec.mzML	33448.854928	33469.805762	2	4528.05	4556.59	28.5388	4528.05	1.12925e+07	6.64918e+06	27	60	22	0.951827	0.877171
1655	191018_Mmazei_BR4-1_3_HCD_5sec.mzML	23966.406041	23981.389829	4	5128.7	5198.89	70.1958	5198.89	2.17117e+07	6.64645e+06	21	47	21	0.955836	0.76561
1656	191018_Mmazei_BR4-1_3_HCD_5sec.mzML	48051.137170	48081.176728	2	5190.14	5216.57	26.4296	5216.57	1.26576e+07	6.64475e+06	41	86	28	0.889049	0.740619
1657	191018_Mmazei_BR4-1_3_HCD_5sec.mzML	4914.683012	4917.756876	20	348.935	667.578	318.643	399.063	5.76888e+07	6.6371e+06	6	9	4	0.96398	0.992724
1658	191018_Mmazei_BR4-1_3_HCD_5sec.mzML	27793.510079	27810.840054	2	5440.97	5485.04	44.0704	5440.97	1.23199e+07	6.62985e+06	25	49	19	0.848492	0.742382
1659	191018_Mmazei_BR4-1_3_HCD_5sec.mzML	55206.211199	55240.757718	2	5083.86	5141.91	58.0417	5141.91	1.24491e+07	6.59328e+06	46	100	35	0.847528	0.67715
1660	191018_Mmazei_BR4-1_3_HCD_5sec.mzML	30958.750057	30978.133953	3	5029.49	5051.39	21.8961	5034.76	1.38184e+07	6.56503e+06	25	55	20	0.943707	0.823169
1661	191018_Mmazei_BR4-1_3_HCD_5sec.mzML	58475.185606	58511.762523	3	4907.51	4975.12	67.6051	4947.75	1.39736e+07	6.5491e+06	50	96	33	0.871302	0.761316
1662	191018_Mmazei_BR4-1_3_HCD_5sec.mzML	64907.912969	64948.478666	2	5034.76	5067.22	32.4637	5034.76	8.44987e+06	6.50565e+06	57	100	29	0.831117	0.511112
1663	191018_Mmazei_BR4-1_3_HCD_5sec.mzML	51204.028504	51236.038243	2	5672.59	5727.24	54.6564	5727.24	1.15414e+07	6.49476e+06	39	90	30	0.907513	0.756471
1664	191018_Mmazei_BR4-1_3_HCD_5sec.mzML	55270.953187	55305.536462	2	5636.48	5665.6	29.1224	5665.6	1.07022e+07	6.45506e+06	38	91	26	0.857156	0.827971
1665	191018_Mmazei_BR4-1_3_HCD_5sec.mzML	36048.378607	36070.957683	2	4747.34	4786.01	38.6749	4786.01	1.27373e+07	6.42625e+06	27	63	20	0.918009	0.711545
1666	191018_Mmazei_BR4-1_3_HCD_5sec.mzML	49886.447922	49917.676521	2	5329.93	5375.84	45.9106	5375.84	1.23681e+07	6.41884e+06	45	94	26	0.863728	0.560118
1667	191018_Mmazei_BR4-1_3_HCD_5sec.mzML	49044.456287	49075.092198	2	5594.24	5637.42	43.1858	5594.24	8.53778e+06	6.4161e+06	41	92	23	0.850701	0.558455
1668	191018_Mmazei_BR4-1_3_HCD_5sec.mzML	50906.331737	50938.159155	2	5154.16	5201.53	47.3623	5154.16	1.14704e+07	6.39808e+06	46	89	27	0.873735	0.75836
1669	191018_Mmazei_BR4-1_3_HCD_5sec.mzML	41513.683230	41539.671361	2	5194.51	5235.96	41.4484	5194.51	1.13656e+07	6.38559e+06	31	80	24	0.885837	0.709546
