FeatureIndex	FileName	MonoisotopicMass	AverageMass	MassCount	StartRetentionTime	EndRetentionTime	RetentionTimeDuration	ApexRetentionTime	SumIntensity	MaxIntensity	MinCharge	MaxCharge	ChargeCount	IsotopeCosineScore	ChargeIntensityCosineScore
1423	20160406_L_VC_ColF18_Exp17_01.mzML	13728.099007	13736.672240	4	6923.75	6977.41	53.6602	6923.75	8.75903e+07	2.50957e+07	10	22	9	0.98593	0.938228
1424	20160406_L_VC_ColF18_Exp17_01.mzML	10394.455499	10400.944427	2	6731.33	6742.99	11.6608	6742.99	3.89742e+07	2.47357e+07	8	12	5	0.943815	0.911583
1425	20160406_L_VC_ColF18_Exp17_01.mzML	6421.601227	6425.576736	5	2195.54	2270.66	75.1201	2225.96	6.2706e+07	2.4723e+07	5	11	7	0.975821	0.990351
1426	20160406_L_VC_ColF18_Exp17_01.mzML	13595.383996	13603.854501	2	1846.37	1878.96	32.5936	1846.37	3.94383e+07	2.46082e+07	15	24	10	0.939642	0.970331
1427	20160406_L_VC_ColF18_Exp17_01.mzML	9020.858273	9026.463696	2	1701.96	1722.51	20.5491	1701.96	4.556e+07	2.45904e+07	7	16	10	0.89718	0.928628
1428	20160406_L_VC_ColF18_Exp17_01.mzML	28690.726255	28708.677258	2	6687.35	6722.99	35.6383	6722.99	4.47368e+07	2.45422e+07	23	48	17	0.89543	0.732979
1429	20160406_L_VC_ColF18_Exp17_01.mzML	8868.809226	8874.323082	3	2789.36	2828.34	38.9841	2828.34	6.83458e+07	2.43235e+07	9	15	6	0.916149	0.666234
1430	20160406_L_VC_ColF18_Exp17_01.mzML	53033.776419	53066.937542	2	7493.28	7506.06	12.7769	7506.06	4.63e+07	2.42818e+07	40	94	25	0.80047	0.683428
1431	20160406_L_VC_ColF18_Exp17_01.mzML	8987.801306	8993.383855	2	6997.98	7027.03	29.0541	7027.03	4.5161e+07	2.413e+07	8	16	8	0.941596	0.712051
1432	20160406_L_VC_ColF18_Exp17_01.mzML	6279.567222	6283.449004	6	1054.39	1087.86	33.4662	1054.39	9.2602e+07	2.41066e+07	6	11	6	0.949677	0.996682
1433	20160406_L_VC_ColF18_Exp17_01.mzML	7233.889916	7238.428814	2	3791.93	3802.8	10.879	3802.8	3.97385e+07	2.40924e+07	7	10	4	0.918668	0.997019
1434	20160406_L_VC_ColF18_Exp17_01.mzML	7845.855826	7850.760715	3	2239.48	2260.79	21.3071	2239.48	5.39422e+07	2.40809e+07	10	14	5	0.963741	0.995666
1435	20160406_L_VC_ColF18_Exp17_01.mzML	8921.800687	8927.344311	2	2158.54	2217.46	58.9262	2217.46	2.87521e+07	2.40765e+07	7	16	10	0.837223	0.947
1436	20160406_L_VC_ColF18_Exp17_01.mzML	15556.996641	15566.722940	3	7381.64	7440.48	58.8398	7428.12	6.04824e+07	2.39986e+07	14	24	11	0.921562	0.950682
